,s 11,s 12,s 21,s 22
1.072,(-0.05689361691+0.1561468095j),(0.9870671034+0.1580478996j),(0.9880533218+0.156018883j),(0.05556830764+0.124207817j)
1.0752,(-0.07517962903+0.1329883188j),(0.9855377078+0.1570161581j),(0.9869805574+0.155857116j),(0.07160822302+0.1496003717j)
1.0784,(-0.0815653652+0.1374859363j),(0.9847536087+0.1589800119j),(0.98592031+0.1571225226j),(0.07806615531+0.1477970928j)
1.0816,(-0.075207524+0.1511576921j),(0.9856254458+0.1607871205j),(0.9871689677+0.1584918648j),(0.07470010221+0.1342587024j)
1.0848,(-0.06747628748+0.146930933j),(0.9860259295+0.1591961384j),(0.9878945351+0.1571897566j),(0.06490907073+0.1363082528j)
1.088,(-0.08779197931+0.1470623165j),(0.985060215+0.161169976j),(0.9864943027+0.1589349806j),(0.08646351844+0.1402676553j)
1.0912,(-0.08612835407+0.1417525411j),(0.9841966033+0.1611924469j),(0.9853836894+0.159768492j),(0.08223698288+0.1443837136j)
1.0944,(-0.06400638819+0.1383805126j),(0.985819757+0.159706831j),(0.9872755408+0.1588899791j),(0.06029595807+0.1466924101j)
1.0976,(-0.07580141723+0.125732407j),(0.9844587445+0.1591778994j),(0.9854887128+0.1584349573j),(0.06989874691+0.1602589041j)
1.1008,(-0.07424369454+0.1458368003j),(0.9862589836+0.1615329385j),(0.9867502451+0.1599839032j),(0.07142053545+0.1410335004j)
1.104,(-0.06392361969+0.1386318058j),(0.9855328798+0.1611711085j),(0.9867798686+0.1587363631j),(0.06007907912+0.1477707624j)
1.1072,(-0.05201534554+0.1351839602j),(0.9866431952+0.1593387425j),(0.9880102277+0.1589809358j),(0.04721695185+0.1493760347j)
1.1104,(-0.06001755968+0.1523480713j),(0.987013936+0.1612913311j),(0.9875149727+0.1610276997j),(0.05621230602+0.1340852082j)
1.1136,(-0.06560057402+0.1472435594j),(0.9864985943+0.1631125212j),(0.9871385098+0.1623219848j),(0.06148120016+0.1406401098j)
1.1168,(-0.05861782283+0.1498935968j),(0.9863966703+0.1620768756j),(0.9871301055+0.1613593996j),(0.05398547649+0.137385577j)
1.12,(-0.06544630229+0.1545768976j),(0.9860050678+0.1630264223j),(0.9870979786+0.1618311107j),(0.060545858+0.1348502189j)
1.1232,(-0.07720464468+0.1489181221j),(0.9848943949+0.1645548046j),(0.9852854013+0.1646693051j),(0.07280936092+0.1417213678j)
1.1264,(-0.06663233042+0.1521446407j),(0.9858864546+0.1642391086j),(0.986531496+0.1632232219j),(0.06206190586+0.1366111189j)
1.1296,(-0.06676930934+0.1597319543j),(0.9867340326+0.1658054441j),(0.9880660176+0.1634306312j),(0.06325569004+0.1305610389j)
1.1328,(-0.06838671118+0.1543094218j),(0.9853137136+0.1655247509j),(0.9851434231+0.1640409231j),(0.06353134662+0.1357441843j)
1.136,(-0.07058144361+0.1471476555j),(0.9851276278+0.1652288139j),(0.9855179191+0.1643129736j),(0.06384451687+0.1454472393j)
1.1392,(-0.07801566273+0.1569098234j),(0.9857593775+0.1684311628j),(0.985740304+0.1662534475j),(0.07399914414+0.1350292563j)
1.1424,(-0.07487808913+0.1447152793j),(0.984673202+0.1664251387j),(0.9850765467+0.1659808755j),(0.06832758337+0.1477264613j)
1.1456,(-0.08033120632+0.1510956734j),(0.9842735529+0.1670951247j),(0.9846371412+0.1657449007j),(0.07505577058+0.1413829774j)
1.1488,(-0.07920543104+0.1370381117j),(0.9832795262+0.1669593453j),(0.984387219+0.1665135622j),(0.07120649517+0.1568432003j)
1.152,(-0.08117040992+0.143624112j),(0.9833479524+0.1685613394j),(0.9846937656+0.1678401679j),(0.07532940805+0.1494589895j)
1.1552,(-0.07790602744+0.1484514624j),(0.9838093519+0.1678107977j),(0.9846807122+0.1673516035j),(0.07151328027+0.1456266791j)
1.1584,(-0.07143326104+0.1484379619j),(0.9842990637+0.1679266095j),(0.9844711423+0.167886287j),(0.06505018473+0.1450358182j)
1.1616,(-0.07232271135+0.1441175789j),(0.9837521911+0.1686215401j),(0.9849748015+0.1678897142j),(0.06558637321+0.1504837126j)
1.1648,(-0.07541610301+0.1437383145j),(0.983909905+0.1690118015j),(0.9848182797+0.1686760187j),(0.06819058955+0.1495748907j)
1.168,(-0.07366532087+0.1477128267j),(0.9838939905+0.1702307761j),(0.9849745631+0.169154346j),(0.06760663539+0.1473070383j)
1.1712,(-0.07476341724+0.1455642283j),(0.9839010239+0.1703998148j),(0.9849022627+0.1694135964j),(0.06740475446+0.1481126398j)
1.1744,(-0.07461947203+0.146209389j),(0.9834830761+0.1701646149j),(0.9843661189+0.1690465808j),(0.06607016176+0.1500989199j)
1.1776,(-0.07300659269+0.1472267807j),(0.9838725924+0.1699391603j),(0.9845679998+0.1688530147j),(0.06555753946+0.1487567872j)
1.1808,(-0.07157624513+0.1482237875j),(0.9834535122+0.170553863j),(0.9844548702+0.1695287824j),(0.06227930635+0.1473117769j)
1.184,(-0.07728353888+0.1512096077j),(0.9828147292+0.17246297j),(0.984228313+0.171318382j),(0.06787985563+0.1471826583j)
1.1872,(-0.0775853321+0.1517953277j),(0.9832442403+0.1722742766j),(0.9841166735+0.1716136187j),(0.06843224913+0.1465237886j)
1.1904,(-0.07924643904+0.1504291594j),(0.9833897948+0.1724808812j),(0.9840179086+0.1724334359j),(0.06992445886+0.1476238668j)
1.1936,(-0.07644280791+0.1529417038j),(0.9830135107+0.1732157767j),(0.9838268757+0.1721675694j),(0.06768063456+0.1462770551j)
1.1968,(-0.07955731452+0.1547210664j),(0.9830818772+0.174242273j),(0.9837100506+0.1736014336j),(0.07055215538+0.1465976387j)
1.2,(-0.07771226764+0.1544612199j),(0.9830691814+0.174273923j),(0.9838982224+0.1728742421j),(0.06951627135+0.146323815j)
1.2032,(-0.07598352432+0.1534146369j),(0.9828894734+0.1748283505j),(0.9830821157+0.173124373j),(0.06728208065+0.1463028044j)
1.2064,(-0.07979117334+0.1533038318j),(0.9831749201+0.1750145555j),(0.9834911823+0.1746955514j),(0.07124682516+0.1490244716j)
1.2096,(-0.07836189866+0.1499145329j),(0.9826955199+0.1747041345j),(0.9826216698+0.1749708354j),(0.06842471659+0.1525781304j)
1.2128,(-0.08414115757+0.1516995579j),(0.982521534+0.1756025106j),(0.9832357168+0.1744571626j),(0.076011464+0.1530634463j)
1.216,(-0.08823589981+0.1518222988j),(0.9816203713+0.1763506234j),(0.9828222394+0.1758578718j),(0.07743492723+0.153750062j)
1.2192,(-0.08170219511+0.1492218375j),(0.9826379418+0.1751550138j),(0.9828776717+0.1762328744j),(0.0712878406+0.154703483j)
1.2224,(-0.08752103895+0.1554689109j),(0.9819002151+0.1769145131j),(0.9817126393+0.1761456728j),(0.07638038695+0.1487928927j)
1.2256,(-0.09126280248+0.1504075527j),(0.9811618328+0.1773506254j),(0.9816763401+0.1761862785j),(0.0805510208+0.1534177661j)
1.2288,(-0.08937449753+0.1506150812j),(0.9814620018+0.1776657701j),(0.9814574718+0.1761341095j),(0.07815974206+0.1540670544j)
1.232,(-0.08859315515+0.1499930471j),(0.9811615944+0.1777799428j),(0.9814219475+0.1768923104j),(0.07722246647+0.1562729776j)
1.2352,(-0.08728507161+0.1545036733j),(0.9819296598+0.1782143712j),(0.9819854498+0.177921474j),(0.07594908774+0.1503483653j)
1.2384,(-0.0813203007+0.1540592462j),(0.9817020893+0.178475678j),(0.9832305908+0.1786926091j),(0.07216180861+0.1515636593j)
1.2416,(-0.0872984305+0.1540778279j),(0.9816890955+0.1786513329j),(0.9821687937+0.1786112189j),(0.07492619753+0.1520357877j)
1.2448,(-0.08409590274+0.143423155j),(0.9807499647+0.1779556274j),(0.9812532067+0.1765833497j),(0.07132166624+0.1605137736j)
1.248,(-0.08733396232+0.1544027776j),(0.9812503457+0.1795529127j),(0.9823420644+0.1795148849j),(0.07519144565+0.1522826105j)
1.2512,(-0.0860670656+0.1540517211j),(0.9813838005+0.18003124j),(0.9822574854+0.1793616712j),(0.07427572459+0.1520072669j)
1.2544,(-0.08064649999+0.152842328j),(0.9815535545+0.1800721884j),(0.9824061394+0.1782050133j),(0.06843954325+0.1533127576j)
1.2576,(-0.08339479566+0.1629547477j),(0.9822173715+0.1805443168j),(0.9833727479+0.1800031364j),(0.0727865994+0.1436610967j)
1.2608,(-0.08602534235+0.1490315348j),(0.9809475541+0.1802416593j),(0.9808534384+0.1802330464j),(0.07266674936+0.1582650095j)
1.264,(-0.09390324354+0.1584910154j),(0.9810698032+0.1816106737j),(0.9810607433+0.1824636757j),(0.08101825416+0.1503326297j)
1.2672,(-0.09236454964+0.1510917097j),(0.9805228114+0.1816747338j),(0.9801280499+0.1820353568j),(0.07893750072+0.1588813663j)
