,s 11,s 12,s 21,s 22
1.0944,(0.005904049613+0.004926772788j),(1.001487851+0.003195572644j),(1.002200842+0.004144720733j),(0.01364992373+0.002031412208j)
1.0976,(-0.006880703848-0.006839234848j),(1.001361012+0.002400606871j),(1.00165379+0.003633409739j),(0.02582247928+0.01289649494j)
1.1008,(-0.00267076306+0.01266307198j),(1.00196147+0.002943187952j),(1.002609372+0.003243923187j),(0.02263420634-0.006523312069j)
1.104,(0.007272364106+0.004276372958j),(1.001293302+0.003220379353j),(1.002087951+0.003100007772j),(0.01276413165+0.002439767588j)
1.1072,(0.0190606527-0.0008536558598j),(1.002007842+0.002344965935j),(1.002593637+0.003593713045j),(0.000381319318+0.00667987857j)
1.1104,(0.01331257541+0.01690792851j),(1.001906514+0.002273708582j),(1.002271891+0.003733098507j),(0.005226026289-0.01070795674j)
1.1136,(0.007989173755+0.01208029687j),(1.002049565+0.003252774477j),(1.002871156+0.004196971655j),(0.01158952806-0.00591547275j)
1.1168,(0.01537988614+0.01377734542j),(1.001987815+0.002547107637j),(1.00213933+0.003495972604j),(0.003375061089-0.007561513223j)
1.12,(0.009444795549+0.01884097606j),(1.001727343+0.002216547728j),(1.00207603+0.002504736185j),(0.008770701475-0.01198387984j)
1.1232,(-0.002263832837+0.01444620267j),(1.001842499+0.002807289362j),(1.001816988+0.004692822695j),(0.0221593529-0.008452026173j)
1.1264,(0.009012688883+0.01616574451j),(1.001897097+0.00245565176j),(1.002223015+0.002999871969j),(0.01036454644-0.01108559314j)
1.1296,(0.01003478467+0.02327304706j),(1.002463818+0.002725034952j),(1.002956748+0.002191722393j),(0.009658530354-0.01787114516j)
1.1328,(0.00829244405+0.01816128939j),(1.001502395+0.002608731389j),(1.000997901+0.002980709076j),(0.01103215944-0.01302806847j)
1.136,(0.005881207995+0.01088195574j),(1.002149582+0.002406030893j),(1.002186775+0.002965033054j),(0.01318136416-0.004119955935j)
1.1392,(-8.566770703e-05+0.02125330083j),(1.002483845+0.003689080477j),(1.002459764+0.003261059523j),(0.02021203935-0.01681013592j)
1.1424,(0.001871473156+0.008790545166j),(1.002121925+0.002762287855j),(1.002218723+0.003985196352j),(0.01757540368-0.00336771179j)
1.1456,(-0.00272038416+0.01549908333j),(1.001752257+0.002315878868j),(1.001686454+0.002672046423j),(0.02222890221-0.01130569167j)
1.1488,(-0.00252136332+0.001116184052j),(1.001641989+0.00292250514j),(1.002274156+0.003693521023j),(0.02183810435+0.004467386287j)
1.152,(-0.003435172606+0.007742476184j),(1.001465797+0.003355681896j),(1.002007246+0.004092007875j),(0.02381639183-0.003692666069j)
1.1552,(0.0005083393771+0.01184737403j),(1.001419544+0.002420142293j),(1.001995683+0.002881512046j),(0.01875842176-0.006785006728j)
1.1584,(0.00736281462+0.0108778663j),(1.0018363+0.002581685781j),(1.001639366+0.003917098045j),(0.01212097704-0.005923192948j)
1.1616,(0.006433574948+0.006447434891j),(1.001537323+0.00293135643j),(1.002258897+0.003575026989j),(0.01349622943-0.0009367242455j)
1.1648,(0.003808991052+0.006372144446j),(1.001707673+0.003206878901j),(1.00197947+0.003640726209j),(0.0157719031-0.002590285381j)
1.168,(0.006279620342+0.009775474668j),(1.001600266+0.00335803628j),(1.002271414+0.003485918045j),(0.01415035967-0.005011715926j)
1.1712,(0.005288609304+0.007335372735j),(1.00161314+0.00339871645j),(1.002482414+0.003385335207j),(0.01418078784-0.004343645182j)
1.1744,(0.005933444016+0.007757548243j),(1.001365185+0.003067225218j),(1.001863599+0.002856880426j),(0.01305948943-0.002559036016j)
1.1776,(0.007964844815+0.008297543041j),(1.001467824+0.002488687634j),(1.002042532+0.002098917961j),(0.01180898119-0.003807547037j)
1.1808,(0.01013025269+0.008869530633j),(1.001497269+0.00271371007j),(1.001801133+0.002842187881j),(0.008180405945-0.004884653259j)
1.184,(0.005222016014+0.01208418328j),(1.001480222+0.003609657288j),(1.001927853+0.003732740879j),(0.01337633189-0.00711903302j)
1.1872,(0.005302040372+0.01205984317j),(1.001961112+0.003069713712j),(1.002179027+0.003728106618j),(0.013284266-0.008174299262j)
1.1904,(0.003928942606+0.01076602563j),(1.001960397+0.002846613526j),(1.002068996+0.003694042563j),(0.0146820154-0.007701076567j)
1.1936,(0.007578362711+0.0127559416j),(1.001574039+0.003317147493j),(1.001637936+0.003374904394j),(0.01162163448-0.00898678042j)
1.1968,(0.005187379196+0.01429653727j),(1.001761436+0.003601700068j),(1.00213778+0.003909111023j),(0.01423622575-0.009968136437j)
1.2,(0.006939526647+0.01374898385j),(1.001675725+0.003478571773j),(1.001929045+0.002816513181j),(0.01275202446-0.01035815291j)
1.2032,(0.009173052385+0.01213631872j),(1.001375556+0.003504171968j),(1.001320601+0.003138646483j),(0.0102544101-0.009834816679j)
1.2064,(0.005853687413+0.01210719161j),(1.00202167+0.003278166056j),(1.002177954+0.004194766283j),(0.0141836321-0.008514634334j)
1.2096,(0.007388833445+0.008327914402j),(1.0015589+0.002836197615j),(1.001646042+0.004254043102j),(0.01193909906-0.004827546887j)
1.2128,(0.001911745057+0.01018665265j),(1.00191772+0.002874344587j),(1.0024755+0.002645224333j),(0.01886520907-0.006448098458j)
1.216,(-0.001423096517+0.01075245067j),(1.001605511+0.003726631403j),(1.002820611+0.003434702754j),(0.02020756155-0.006400648504j)
1.2192,(0.005177011713+0.007332035806j),(1.001703978+0.002543598413j),(1.002436161+0.004186481237j),(0.01413627435-0.003878816031j)
