Frequency,S11,S21,S12,S22
4790000000.0,(-16.0853938639872+124.918409063697j),(-2.67717221034131-71.5073025346566j),(-2.67989306271274-71.5297670407703j),(-15.2594202408779-154.758899093534j)
4800000000.0,(-15.7015942711429+125.241867850356j),(-2.6551725203597-72.5326113356073j),(-2.67084267504946-72.4797376566502j),(-15.0522489269383-155.586269315476j)
4810000000.0,(-15.3878091554798+125.663647567841j),(-2.70282893191685-73.4560847189627j),(-2.7208209900013-73.4030249946136j),(-14.907366417256-155.210089535854j)
4820000000.0,(-15.1721671548383+126.562333577216j),(-2.69315815426299-74.4164489123808j),(-2.6935004102924-74.342044310546j),(-14.6767224159928-156.072906220005j)
4830000000.0,(-14.8289123791398+126.835991169952j),(-2.69347475491374-75.2012086388461j),(-2.71647905953741-75.2536197321668j),(-14.3950913755378-156.523106761115j)
4840000000.0,(-14.6203683902572+127.267403326552j),(-2.73584998938685-76.1465820080606j),(-2.72418589338433-76.1489959235436j),(-14.0994367632095-156.642612344441j)
4850000000.0,(-14.373921190003+128.44635509934j),(-2.76285195378001-76.9869557921833j),(-2.74836927867023-76.8778234526762j),(-13.8276635682246-157.226378810369j)
4860000000.0,(-14.1042100237851+128.005995367442j),(-2.76248424053559-77.8072952121087j),(-2.76471780294131-77.9376218897656j),(-13.526403349532-156.492973196819j)
4870000000.0,(-13.8378263727634+128.04188388449j),(-2.77543001099873-78.7950777768248j),(-2.77774183561042-78.8069474838479j),(-13.3419995663018-156.089731032232j)
4880000000.0,(-13.7256157461045+127.488359805509j),(-2.77690045913917-79.6692467476697j),(-2.79095835277448-79.6710778670243j),(-13.0638312059345-155.651104303955j)
4890000000.0,(-13.5289640775394+128.227522908298j),(-2.78870848761433-80.5860213185609j),(-2.80352289664326-80.5812601321977j),(-12.9980762168265-155.549776972752j)
4900000000.0,(-13.1549408919348+127.578993139146j),(-2.81047576506982-81.5488147484623j),(-2.82421778854389-81.4098396441243j),(-12.7420317860263-156.313300043162j)
4910000000.0,(-13.0165517638438+128.329036321239j),(-2.82250167291441-82.5277875619665j),(-2.81788068223174-82.2709788325944j),(-12.6514302931325-156.213915059663j)
4920000000.0,(-12.7193333265303+128.863303436921j),(-2.8189172965302-83.2918092721109j),(-2.84609491088056-83.1187905826837j),(-12.4758085377533-157.227239387736j)
4930000000.0,(-12.5626520232059+128.196945668363j),(-2.8520437665479-84.2230830839821j),(-2.85947502218899-84.0806520963951j),(-12.4119402834484-158.341275896214j)
4940000000.0,(-12.4312651841753+128.723713778913j),(-2.85886191900654-85.2536849117719j),(-2.84621826188583-85.0161591299404j),(-12.2268498981926-159.274699268315j)
4950000000.0,(-12.2347065782266+128.238800179949j),(-2.87284145283115-85.8941786444388j),(-2.88680431370708-85.8822970038469j),(-12.1284038000701-159.321590617315j)
4960000000.0,(-12.1198587428186+127.982177272896j),(-2.89793932281914-86.9964480375321j),(-2.91064022065861-86.7958805334312j),(-11.8994485227611-160.037612985097j)
4970000000.0,(-11.9314265759856+127.678108789192j),(-2.89942895262054-87.805141443602j),(-2.93069010439431-87.5673045346651j),(-11.6707364456814-160.276612836206j)
4980000000.0,(-11.8191993901789+128.197584834026j),(-2.93030072489057-88.631852061592j),(-2.92733122510139-88.4513794133402j),(-11.5131562147949-160.500993084253j)
4990000000.0,(-11.6944435425632+127.495588141541j),(-2.94149624550794-89.4677850007556j),(-2.94071494523135-89.3255417781833j),(-11.4022864340255-161.218482413227j)
5000000000.0,(-11.526855712214+127.815129685214j),(-2.95751545956513-90.1862397416515j),(-2.95536253158429-90.0784625907232j),(-11.2011506041993-161.394861388645j)
5010000000.0,(-11.3856369665193+127.356885777676j),(-2.96760151941912-91.2592406219621j),(-2.9590351476873-90.9880494193149j),(-11.1662054593865-161.462729413819j)
5020000000.0,(-11.2255516594183+127.39841198018j),(-3.00985853700858-91.9877209384265j),(-2.99795974406932-91.8360420119092j),(-11.0464743264636-161.64078525011j)
5030000000.0,(-11.0968839778163+126.524245882265j),(-2.96079187069365-92.9305257057746j),(-3.01211760408305-92.7391521966717j),(-10.9898050996898-162.648234645104j)
5040000000.0,(-10.9920275903694+127.347802764248j),(-3.03253708191629-93.6989812374511j),(-3.02441733737371-93.4366148734058j),(-10.810389968331-163.735602108538j)
5050000000.0,(-10.8023365551335+127.026615833287j),(-3.03482558324157-94.6455440891059j),(-3.02079972506988-94.5210006005994j),(-10.8195316001969-164.968429011061j)
5060000000.0,(-10.7439830394204+127.100623412661j),(-3.05329311649319-95.5324675493372j),(-3.04686032477437-95.2537079350563j),(-10.6953867823745-165.364468139277j)
5070000000.0,(-10.6165459968931+127.015038275302j),(-3.06229054173481-96.2827379080829j),(-3.07588472418824-96.0363003914578j),(-10.5782558542734-166.34619946116j)
5080000000.0,(-10.545993850677+126.697466297281j),(-3.04839912677618-97.1179757238768j),(-3.06591753751849-97.059361694835j),(-10.4743014839359-167.11813931776j)
5090000000.0,(-10.4367604164641+126.004717476906j),(-3.05071688597969-98.0742129476552j),(-3.06141013272423-97.7030549188139j),(-10.3056454883819-167.639096689634j)
5100000000.0,(-10.3704471584972+126.195089463549j),(-3.07496776460264-98.7610131295945j),(-3.08153928801301-98.757673911702j),(-10.2133848183062-167.936083376351j)
5110000000.0,(-10.2921732712515+125.640670904327j),(-3.08881287153094-99.8157017221651j),(-3.10399145938547-99.6641882850454j),(-10.1440500336585-168.193854290038j)
5120000000.0,(-10.1941054873788+125.781931741624j),(-3.13026286015511-100.494985135609j),(-3.12537913950595-100.304609893385j),(-10.0230155983502-168.873326151036j)
5130000000.0,(-10.0729767693038+125.127522008873j),(-3.11424509175543-101.236891658541j),(-3.14580291858588-101.155850992033j),(-9.94465637923809-169.088352404707j)
5140000000.0,(-9.94952600999002+125.165884607751j),(-3.15310972716111-102.137871508869j),(-3.14100434462328-101.894359159897j),(-9.88268829411348-170.219044157705j)
5150000000.0,(-9.85961078458732+125.20548780628j),(-3.15644068558694-102.89728452242j),(-3.15583598286563-102.826158098606j),(-9.90240183317191-170.801816503115j)
5160000000.0,(-9.77544265489986+124.983669393149j),(-3.16409686116039-103.690999665134j),(-3.17445724357391-103.743271268288j),(-9.83808705047115-171.702975492103j)
5170000000.0,(-9.74083146149391+125.055403126476j),(-3.18567090716728-104.622082976467j),(-3.17818629137892-104.432822652308j),(-9.82298117591188-173.174834286401j)
5180000000.0,(-9.70668136690223+124.630090442616j),(-3.1637415707852-105.320522859118j),(-3.17180176193202-105.203289310093j),(-9.74821396505883-173.909783852509j)
5190000000.0,(-9.60209314638169+124.297858847091j),(-3.1987520280466-106.120453465029j),(-3.19284990795263-105.949776755615j),(-9.64097070421846-174.657163910588j)
