,s 11,s 12,s 21,s 22
1.0688,(-0.06091530249+0.1529297829j),(0.9879340529+0.1587992013j),(0.9886592627+0.1573094428j),(0.05728518963+0.1338836998j)
1.072,(-0.05394655839+0.1576734632j),(0.9882585406+0.1596811116j),(0.9892212749+0.1572841406j),(0.04994978011+0.1276421994j)
1.0752,(-0.07213623077+0.1343425214j),(0.9868686795+0.1583730578j),(0.9884402156+0.1571650803j),(0.06615855545+0.1529301107j)
1.0784,(-0.07847262919+0.138821125j),(0.9861460924+0.1605698764j),(0.9872556925+0.158651948j),(0.07248630375+0.1511538923j)
1.0816,(-0.07222443819+0.1524308026j),(0.9867916107+0.1620814949j),(0.9885619879+0.1601594388j),(0.06904284656+0.1377370954j)
1.0848,(-0.06441278756+0.1484906673j),(0.9872863889+0.1605516076j),(0.9888806343+0.1584886611j),(0.05919838324+0.1397546083j)
1.088,(-0.08470664918+0.1484677196j),(0.9864016175+0.1626801193j),(0.9876434803+0.1601993442j),(0.08079899102+0.1435894072j)
1.0912,(-0.08303691447+0.1432749182j),(0.9856527448+0.1625559032j),(0.9866425991+0.1611743867j),(0.07659079134+0.1477829367j)
1.0944,(-0.06070242077+0.1398441195j),(0.9871188402+0.1612280011j),(0.9887120128+0.1603659391j),(0.05459479988+0.1501901746j)
1.0976,(-0.0726107657+0.1271512508j),(0.985832274+0.1605150402j),(0.9869110584+0.1597503126j),(0.06436045468+0.1636891961j)
1.1008,(-0.07097036391+0.1474600434j),(0.9874967933+0.1630484462j),(0.9882789254+0.1613754332j),(0.06572127342+0.1445358843j)
1.104,(-0.06056825444+0.1401207894j),(0.9868227839+0.1626469791j),(0.9881361127+0.1601811051j),(0.05439745635+0.1514259428j)
1.1072,(-0.04878941923+0.1366858929j),(0.9881853461+0.1608575583j),(0.9893585443+0.1602348983j),(0.04160043225+0.1531057656j)
1.1104,(-0.05678648502+0.1540643722j),(0.9882814884+0.1628263295j),(0.988847971+0.162322849j),(0.05042813718+0.1378080994j)
1.1136,(-0.06216619164+0.1489441246j),(0.9877310395+0.1644160599j),(0.9887191057+0.1638430953j),(0.05560408533+0.1443754584j)
1.1168,(-0.05540484563+0.1515365988j),(0.9877089262+0.1638392955j),(0.9881744981+0.1626401395j),(0.04823152721+0.1410404593j)
1.12,(-0.06216841564+0.1562434882j),(0.9872603416+0.1643823087j),(0.9886128902+0.1632808149j),(0.0546782352+0.1386359781j)
1.1232,(-0.07397192717+0.1507411897j),(0.9861442447+0.1661004126j),(0.9864647985+0.1661518812j),(0.06686460972+0.1453252882j)
1.1264,(-0.06326122582+0.1539328396j),(0.9871360064+0.1656205952j),(0.9878560305+0.1647711247j),(0.05606943369+0.1403761804j)
1.1296,(-0.06344529241+0.1614670306j),(0.987780571+0.167072922j),(0.9890727997+0.1648764759j),(0.05725554377+0.1343093067j)
1.1328,(-0.06506097317+0.1560980976j),(0.9865487218+0.1671120524j),(0.9862728715+0.1654212475j),(0.05755372345+0.1394512057j)
1.136,(-0.06718465686+0.1488950402j),(0.9862362742+0.1668436229j),(0.9869393706+0.1656229645j),(0.05795361102+0.1491583735j)
1.1392,(-0.07469169796+0.158734411j),(0.98684448+0.1697937697j),(0.9867781997+0.1674517691j),(0.06782595068+0.1387306154j)
1.1424,(-0.07155460119+0.1465767622j),(0.9859040976+0.1681226492j),(0.9865603447+0.1672414243j),(0.06240552664+0.151561439j)
1.1456,(-0.07687336206+0.1529061347j),(0.9856386185+0.1686226875j),(0.9858954549+0.1668867171j),(0.06910149008+0.1451263726j)
1.1488,(-0.07561743259+0.138814047j),(0.9844954014+0.1681632102j),(0.9857451916+0.1677478254j),(0.06514288485+0.1606134325j)
1.152,(-0.07765097916+0.1455271542j),(0.9849917889+0.169913277j),(0.985755682+0.1690906137j),(0.06921423972+0.1532652378j)
1.1552,(-0.07452175021+0.1502491236j),(0.9851776361+0.1692404151j),(0.9857090116+0.1686340868j),(0.0655016005+0.149502784j)
1.1584,(-0.06785343587+0.1504651755j),(0.9859923124+0.1694993973j),(0.985707283+0.1693996489j),(0.05887884274+0.1490392685j)
1.1616,(-0.0687706694+0.1459620595j),(0.985212326+0.1700022817j),(0.9863240719+0.1695892215j),(0.05944857746+0.1544541568j)
1.1648,(-0.07180625945+0.1456804425j),(0.9851511717+0.1705570966j),(0.9861328602+0.1700577587j),(0.06214280427+0.1534392089j)
1.168,(-0.07000814378+0.1497377902j),(0.9852070808+0.1717603803j),(0.9864301682+0.1706409752j),(0.06129350141+0.1512107253j)
1.1712,(-0.07119271159+0.1474369764j),(0.9852678776+0.1718690991j),(0.9861552119+0.170650512j),(0.06127692014+0.1519995183j)
1.1744,(-0.07080892473+0.1481287032j),(0.9845237732+0.1717243046j),(0.985617578+0.1707654893j),(0.05992144719+0.1540147811j)
1.1776,(-0.06932523847+0.1493121833j),(0.985190928+0.1713984311j),(0.9858324528+0.170188576j),(0.05941122398+0.152801916j)
1.1808,(-0.06780529767+0.1503592432j),(0.984657228+0.1719989181j),(0.9860160351+0.1711087227j),(0.0558914654+0.1515187621j)
1.184,(-0.07357607037+0.1531606466j),(0.984107852+0.1738699228j),(0.9855172038+0.1729788184j),(0.06149018183+0.1512691975j)
1.1872,(-0.07384961098+0.153815344j),(0.9847378731+0.1736152172j),(0.9856336117+0.1729611009j),(0.06205007434+0.1506116241j)
1.1904,(-0.07561244816+0.152589187j),(0.9848260283+0.1738837063j),(0.9851713181+0.1741485596j),(0.06347499788+0.1517643332j)
1.1936,(-0.07262098789+0.155354768j),(0.984375+0.1746085584j),(0.9846371412+0.1739019752j),(0.06105077267+0.1502969265j)
1.1968,(-0.07576027513+0.1569165587j),(0.9844046235+0.1758522838j),(0.9850929976+0.1748155057j),(0.06425470859+0.1506319493j)
1.2,(-0.07398594171+0.1569144726j),(0.9843326211+0.1760931015j),(0.9851526618+0.1745112687j),(0.06312901527+0.1504548788j)
1.2032,(-0.07206574082+0.1556163132j),(0.9841814637+0.1760724485j),(0.9846384525+0.1743202209j),(0.06089602783+0.1504027247j)
1.2064,(-0.07608479261+0.155628264j),(0.9843043089+0.1765912175j),(0.9845342636+0.1761049032j),(0.06473540515+0.1531639248j)
1.2096,(-0.07446730137+0.1521955431j),(0.9840232134+0.1763034463j),(0.9838755727+0.1763296425j),(0.06200746074+0.1566923857j)
1.2128,(-0.08039744198+0.1537486464j),(0.983727634+0.176938504j),(0.9845312238+0.1757867038j),(0.06952241063+0.1571737975j)
1.216,(-0.08433444798+0.1540645212j),(0.9830310941+0.1778685153j),(0.9843084812+0.1769224703j),(0.07089909911+0.1578474641j)
1.2192,(-0.077775307+0.151540786j),(0.9838315845+0.1767414212j),(0.9841315746+0.1775893867j),(0.06474348158+0.1589984596j)
1.2224,(-0.08366329968+0.1578392535j),(0.9832971096+0.1782871336j),(0.9829310179+0.1774995327j),(0.06973733753+0.1530604959j)
1.2256,(-0.08733790368+0.1527625769j),(0.9823412895+0.1790305376j),(0.9831295013+0.1776611805j),(0.07392527908+0.1577647626j)
1.2288,(-0.08543781191+0.1530339718j),(0.9826642275+0.1790699363j),(0.9825614691+0.1774556935j),(0.07152812183+0.1583957523j)
1.232,(-0.08460332453+0.1523757875j),(0.9824002981+0.1792624295j),(0.9826070666+0.1783795506j),(0.07055006176+0.1606521904j)
1.2352,(-0.08335953951+0.1569509804j),(0.9831308126+0.1798100471j),(0.9833712578+0.1796030998j),(0.06926412135+0.1546257138j)
1.2384,(-0.07731772959+0.1566002667j),(0.9829778671+0.1800291836j),(0.9845141768+0.1802158952j),(0.065471977+0.1559914798j)
1.2416,(-0.08331035078+0.1565391123j),(0.9828831553+0.1800675094j),(0.9833016396+0.1800637245j),(0.06828515977+0.1565763205j)
1.2448,(-0.07997465879+0.1457772553j),(0.9820035696+0.1797901094j),(0.9827785492+0.1779995859j),(0.06459075212+0.1650254726j)
1.248,(-0.08314407617+0.1568776369j),(0.9826911092+0.1812421381j),(0.9834310412+0.1808796972j),(0.06849070638+0.1567227393j)
1.2512,(-0.08189812303+0.1566687375j),(0.9828144312+0.1816413999j),(0.9835090637+0.1806585789j),(0.06742790341+0.1565021873j)
1.2544,(-0.07658885419+0.1553378701j),(0.9827819467+0.1818031073j),(0.9835256934+0.1800189912j),(0.06160672009+0.1578166783j)
1.2576,(-0.07929803431+0.1656455845j),(0.983485043+0.1817207485j),(0.9848534465+0.181705296j),(0.06587150693+0.1483817399j)
1.2608,(-0.08186462522+0.1517350972j),(0.9821373224+0.1819212884j),(0.9821977615+0.1815873981j),(0.06588857621+0.1629334241j)
1.264,(-0.08975691348+0.1611648351j),(0.9821481705+0.1832812726j),(0.9821918011+0.1839286089j),(0.07408466935+0.1548244655j)
1.2672,(-0.08800768107+0.1536897719j),(0.9818854332+0.1831276119j),(0.9816028476+0.1833847761j),(0.07212024927+0.1635227203j)
1.2704,(-0.0817848444+0.1617546529j),(0.9828990698+0.1838102192j),(0.9826524854+0.1835824102j),(0.06570982933+0.1548040211j)
1.2736,(-0.09146846831+0.1694674492j),(0.9818098545+0.1854551733j),(0.9827595353+0.1848177314j),(0.07694998384+0.1496636868j)
1.2768,(-0.08722642064+0.1635353863j),(0.9826580286+0.1846159399j),(0.9825422764+0.1841707528j),(0.07211585343+0.1541652083j)
1.28,(-0.09368605167+0.1561867893j),(0.9803729653+0.1847081631j),(0.9810780883+0.1846818328j),(0.07739466429+0.1636650264j)
1.2832,(-0.09251119941+0.1580251306j),(0.9811835289+0.1852347851j),(0.9815148115+0.1852573603j),(0.0757805407+0.1616654247j)
1.2864,(-0.09788359702+0.1537016481j),(0.9801126719+0.1858798265j),(0.9809416533+0.1854793727j),(0.08085530251+0.1674820334j)
1.2896,(-0.09582582116+0.1597896665j),(0.9806931019+0.1867156774j),(0.979790628+0.186319083j),(0.07870981842+0.161579147j)
1.2928,(-0.09480582923+0.150994733j),(0.9802714586+0.1854258329j),(0.9807540774+0.1858047545j),(0.07726535201+0.1698794812j)
1.296,(-0.09854194522+0.1638923585j),(0.9804959297+0.1872326136j),(0.9801677465+0.1873764396j),(0.08238973469+0.1587091386j)
1.2992,(-0.09634923935+0.1553303003j),(0.9799369574+0.1869293451j),(0.9801825285+0.187156707j),(0.07625261694+0.1667902768j)
1.3024,(-0.09099179506+0.1544298828j),(0.980620563+0.1868531704j),(0.9802177548+0.1864386052j),(0.072064206+0.166997999j)
1.3056,(-0.08650273085+0.1597294062j),(0.9817459583+0.187776804j),(0.9815876484+0.1876254976j),(0.06964496523+0.1624828577j)
1.3088,(-0.09195938706+0.1578074098j),(0.9811588526+0.1872555912j),(0.9802872539+0.1876434684j),(0.07386753708+0.1651532948j)
1.312,(-0.09494955838+0.1606373787j),(0.979835093+0.1888195276j),(0.9799236059+0.1887800694j),(0.07628117502+0.162760675j)
1.3152,(-0.08833472431+0.1585926563j),(0.9810644388+0.1886300743j),(0.980696857+0.1886277348j),(0.07080407441+0.1646063924j)
1.3184,(-0.08875307441+0.1631419361j),(0.9806867838+0.1897914708j),(0.9816119671+0.1889144778j),(0.07067154348+0.1606264561j)
