,s 11,s 12,s 21,s 22
1.168,(-0.06037838757+0.1348496079j),(0.9864448905+0.1539496183j),(0.9872719646+0.1526472569j),(0.05883943662+0.1311662048j)
1.1712,(-0.06147297099+0.1326443255j),(0.986463666+0.1540044248j),(0.9872642756+0.1529508531j),(0.05873166397+0.1319251657j)
1.1744,(-0.06110218912+0.1333156675j),(0.985837698+0.1539206207j),(0.9869096875+0.1526976526j),(0.05745070055+0.1340218186j)
1.1776,(-0.05956361443+0.1343148351j),(0.9861697555+0.1536468565j),(0.9871671796+0.1524223685j),(0.05678256974+0.132726714j)
1.1808,(-0.05790984631+0.135302633j),(0.985732913+0.1543691754j),(0.9871169329+0.1530450881j),(0.0533529222+0.1313771456j)
1.184,(-0.06352910399+0.1382962167j),(0.9852515459+0.1559523046j),(0.9866923094+0.1550766826j),(0.05893179774+0.1310325712j)
1.1872,(-0.06375334412+0.1387511343j),(0.9859535098+0.1554313004j),(0.9866338372+0.155296877j),(0.0594425723+0.1303290129j)
1.1904,(-0.06554754823+0.1375396848j),(0.9860335588+0.155697614j),(0.986453712+0.1555089653j),(0.06101313978+0.1312368512j)
1.1936,(-0.06245194003+0.1402209997j),(0.9857395887+0.1565862894j),(0.9860113263+0.1554808915j),(0.0584500283+0.1298523247j)
1.1968,(-0.06557102501+0.1419168115j),(0.9860064983+0.1576702893j),(0.9863210917+0.1565233767j),(0.06162250042+0.1300257742j)
1.2,(-0.06378665566+0.1417565197j),(0.985825181+0.1576784253j),(0.9863548279+0.1559611708j),(0.06049380451+0.1298055202j)
1.2032,(-0.06194739044+0.1405275315j),(0.9853478074+0.15792647j),(0.985539794+0.156430155j),(0.05807319283+0.1298517585j)
1.2064,(-0.06569010019+0.1404957175j),(0.9857941866+0.1581902504j),(0.9860868454+0.1579839289j),(0.06209578738+0.1324784756j)
1.2096,(-0.06424157321+0.1370190233j),(0.9854052663+0.1578942537j),(0.9850577116+0.1579097509j),(0.05935200676+0.136004433j)
1.2128,(-0.06999661028+0.1387026608j),(0.9853020906+0.1587639898j),(0.9858126044+0.1576612145j),(0.0668957755+0.136325106j)
1.216,(-0.07395759225+0.1390040517j),(0.984525919+0.1594947278j),(0.9854335785+0.1585446894j),(0.06818987429+0.1368768215j)
1.2192,(-0.06734080613+0.1362875551j),(0.9853477478+0.1583047807j),(0.9856221676+0.1589024365j),(0.06212674826+0.1380409002j)
1.2224,(-0.07309059799+0.1427417547j),(0.9848947525+0.1598620415j),(0.9844183922+0.1593119204j),(0.06708144397+0.1320380121j)
1.2256,(-0.07678811252+0.1375271678j),(0.9839369655+0.1606950611j),(0.9844412208+0.1590122432j),(0.07123409957+0.1365569979j)
1.2288,(-0.07493059337+0.1378397197j),(0.9840368032+0.1606433988j),(0.9844412804+0.1587395072j),(0.06877249479+0.1372531056j)
