Frequency,S11,S21
2.177,(-37.7022435129616-104.029816604773j),(-37.7022435129616-104.029816604773j)
2.1787,(-37.9149793872498-105.869519812951j),(-37.9149793872498-105.869519812951j)
2.1804,(-38.2188762711629-108.59264942302j),(-38.2188762711629-108.59264942302j)
2.1821,(-38.6274144182984-111.462631162402j),(-38.6274144182984-111.462631162402j)
2.1838,(-39.1251630294049-113.758096146768j),(-39.1251630294049-113.758096146768j)
2.1855,(-39.635969247224-115.391862191509j),(-39.635969247224-115.391862191509j)
2.1872,(-40.0857601096477-116.720354152662j),(-40.0857601096477-116.720354152662j)
2.1889,(-40.4171423722855-117.699662187985j),(-40.4171423722855-117.699662187985j)
2.1906,(-40.6601164623439-118.663231940965j),(-40.6601164623439-118.663231940965j)
2.1923,(-40.798824534062-119.952487494426j),(-40.798824534062-119.952487494426j)
2.194,(-40.8406903458891-121.494681080902j),(-40.8406903458891-121.494681080902j)
2.1957,(-40.8023028702471-123.093671144938j),(-40.8023028702471-123.093671144938j)
2.1974,(-40.7344496999711-124.70934997842j),(-40.7344496999711-124.70934997842j)
2.1991,(-40.6110296436225-125.781345116083j),(-40.6110296436225-125.781345116083j)
2.2008,(-40.401465794133-126.219512070319j),(-40.401465794133-126.219512070319j)
2.2025,(-40.0810466452873-126.217279267676j),(-40.0810466452873-126.217279267676j)
2.2042,(-39.6530807755644-125.988961035332j),(-39.6530807755644-125.988961035332j)
2.2059,(-39.1649790366083-125.395327873817j),(-39.1649790366083-125.395327873817j)
2.2076,(-38.5756134334407-124.820176667633j),(-38.5756134334407-124.820176667633j)
2.2093,(-37.9270003377944-124.691369415579j),(-37.9270003377944-124.691369415579j)
2.211,(-37.280272335233-125.118391757407j),(-37.280272335233-125.118391757407j)
2.2127,(-36.7040925152585-125.733014324192j),(-36.7040925152585-125.733014324192j)
2.2144,(-36.2663357722166-126.656521136j),(-36.2663357722166-126.656521136j)
2.2161,(-35.9291778396433-127.50945731518j),(-35.9291778396433-127.50945731518j)
2.2178,(-35.7170738790191-127.825622644715j),(-35.7170738790191-127.825622644715j)
2.2195,(-35.6056048410378-127.764594289797j),(-35.6056048410378-127.764594289797j)
2.2212,(-35.5853768983747-127.4322464644j),(-35.5853768983747-127.4322464644j)
2.2229,(-35.608227858965-126.765102570581j),(-35.608227858965-126.765102570581j)
2.2246,(-35.6233859140376-125.934768293991j),(-35.6233859140376-125.934768293991j)
2.2263,(-35.6494959823367-125.055704060412j),(-35.6494959823367-125.055704060412j)
2.228,(-35.6822290998436-124.110412864363j),(-35.6822290998436-124.110412864363j)
2.2297,(-35.7344989555725-123.096768541209j),(-35.7344989555725-123.096768541209j)
2.2314,(-35.8078936491018-122.092221883406j),(-35.8078936491018-122.092221883406j)
2.2331,(-35.8891601797767-120.954782460438j),(-35.8891601797767-120.954782460438j)
2.2348,(-35.9763221866755-119.826777064867j),(-35.9763221866755-119.826777064867j)
2.2365,(-36.0744067780026-118.71805857701j),(-36.0744067780026-118.71805857701j)
2.2382,(-36.1786710588833-117.611975324488j),(-36.1786710588833-117.611975324488j)
2.2399,(-36.2965571559888-116.303107902512j),(-36.2965571559888-116.303107902512j)
2.2416,(-36.4038937305431-115.213461490405j),(-36.4038937305431-115.213461490405j)
2.2433,(-36.5149869662365-114.048796949077j),(-36.5149869662365-114.048796949077j)
2.245,(-36.6149072412078-113.213145621637j),(-36.6149072412078-113.213145621637j)
2.2467,(-36.6182274877844-113.35404459091j),(-36.6182274877844-113.35404459091j)
2.2484,(-36.5855709157002-114.118389241459j),(-36.5855709157002-114.118389241459j)
2.2501,(-36.552564881399-115.007553187419j),(-36.552564881399-115.007553187419j)
2.2518,(-36.5546262322929-115.702302994868j),(-36.5546262322929-115.702302994868j)
2.2535,(-36.654729271759-116.050505225232j),(-36.654729271759-116.050505225232j)
2.2552,(-36.8817324177734-116.022562856506j),(-36.8817324177734-116.022562856506j)
2.2569,(-37.2570379752654-116.219920886443j),(-37.2570379752654-116.219920886443j)
2.2586,(-37.7081515276941-116.883905703792j),(-37.7081515276941-116.883905703792j)
2.2603,(-38.0930946048925-118.364185687617j),(-38.0930946048925-118.364185687617j)
2.262,(-38.3427364701516-120.140439870772j),(-38.3427364701516-120.140439870772j)
2.2637,(-38.4400078080427-122.044728470683j),(-38.4400078080427-122.044728470683j)
