Frequency,S11 Re,S11 Im,S21 Re,S21 Im
1.74302,-0.1914487183,-0.3014133275,0.8991164565,-0.2494434118
1.7432,-0.1914298534,-0.3014065027,0.8991855383,-0.2495041639
1.74338,-0.1914230436,-0.3014743924,0.8992109895,-0.2495410293
1.74356,-0.1914514452,-0.3014166355,0.8991538286,-0.2493536174
1.74374,-0.191425249,-0.3014529049,0.8990448713,-0.2493174821
1.74392,-0.191508472,-0.3013778031,0.8990189433,-0.2494314909
1.7441,-0.1914571971,-0.3013979793,0.8990131021,-0.2495734692
1.74428,-0.1916440129,-0.3013596535,0.8989267945,-0.2495428324
1.74446,-0.1917825043,-0.3012906909,0.8990867138,-0.2496306598
1.74464,-0.1918162853,-0.3013652861,0.8989135623,-0.2495906055
1.74482,-0.1919519156,-0.3013960421,0.899179399,-0.2496426105
1.745,-0.1918680221,-0.3015017509,0.8991456628,-0.249509424
1.74518,-0.1919182092,-0.3015658855,0.8992393017,-0.2496327013
1.74536,-0.1920443028,-0.3014540374,0.89915061,-0.2495562583
1.74554,-0.1920817345,-0.3015094399,0.8991650343,-0.249677524
1.74572,-0.192073375,-0.3013686538,0.8990447521,-0.2496542782
1.7459,-0.1921651214,-0.3013731539,0.8990386128,-0.2497549653
1.74608,-0.1921417415,-0.301351577,0.8989310861,-0.249764204
1.74626,-0.1920777708,-0.301412493,0.8990640044,-0.2495383173
1.74644,-0.192233339,-0.3014435768,0.8989614844,-0.2495807707
1.74662,-0.1922098845,-0.3015048206,0.8989971876,-0.2495895475
1.7468,-0.1921393722,-0.3015343845,0.898968637,-0.2494884133
1.74698,-0.1921973228,-0.3013573885,0.8988700509,-0.2495592386
1.74716,-0.1921654046,-0.3014273345,0.8989192843,-0.2495933473
1.74734,-0.1922004372,-0.3014309108,0.8988631964,-0.2494904846
1.74752,-0.1922850758,-0.3013718128,0.8986825347,-0.249532938
1.7477,-0.1924787313,-0.3014042377,0.8987623453,-0.2498846203
