Frequency,S11,S21
1.74644,(-0.01244613063+0.002125690458j),(-0.01244613063+0.002125690458j)
1.74662,(-0.01244238019+0.002112858696j),(-0.01244238019+0.002112858696j)
1.7468,(-0.01241368987+0.002102171304j),(-0.01241368987+0.002102171304j)
1.74698,(-0.01252187509+0.002070944058j),(-0.01252187509+0.002070944058j)
1.74716,(-0.01244056132+0.002120270627j),(-0.01244056132+0.002120270627j)
1.74734,(-0.01253384165+0.002175932983j),(-0.01253384165+0.002175932983j)
1.74752,(-0.01247212477+0.002248924458j),(-0.01247212477+0.002248924458j)
1.7477,(-0.01253235526+0.002239422873j),(-0.01253235526+0.002239422873j)
1.74788,(-0.01251584757+0.002234160667j),(-0.01251584757+0.002234160667j)
1.74806,(-0.01255905721+0.002271709964j),(-0.01255905721+0.002271709964j)
1.74824,(-0.01262934692+0.002364828717j),(-0.01262934692+0.002364828717j)
1.74842,(-0.01261953916+0.002374009928j),(-0.01261953916+0.002374009928j)
1.7486,(-0.0126992017+0.002346988535j),(-0.0126992017+0.002346988535j)
1.74878,(-0.0126599241+0.00251200702j),(-0.0126599241+0.00251200702j)
1.74896,(-0.01273624133+0.002424782608j),(-0.01273624133+0.002424782608j)
1.74914,(-0.01266611367+0.002479155548j),(-0.01266611367+0.002479155548j)
1.74932,(-0.01272005402+0.002420088509j),(-0.01272005402+0.002420088509j)
1.7495,(-0.01274584327+0.00244890363j),(-0.01274584327+0.00244890363j)
1.74968,(-0.01278964058+0.00238649291j),(-0.01278964058+0.00238649291j)
1.74986,(-0.01281442679+0.002399922581j),(-0.01281442679+0.002399922581j)
1.75004,(-0.01282743178+0.002414916642j),(-0.01282743178+0.002414916642j)
1.75022,(-0.01291189902+0.002418002579j),(-0.01291189902+0.002418002579j)
1.7504,(-0.01294296328+0.002473769477j),(-0.01294296328+0.002473769477j)
1.75058,(-0.01292640064+0.002482217737j),(-0.01292640064+0.002482217737j)
1.75076,(-0.01283919625+0.002605956746j),(-0.01283919625+0.002605956746j)
1.75094,(-0.01291114278+0.002599748084j),(-0.01291114278+0.002599748084j)
1.75112,(-0.01285247225+0.002607066417j),(-0.01285247225+0.002607066417j)
1.7513,(-0.01281464472+0.002604329959j),(-0.01281464472+0.002604329959j)
1.75148,(-0.01274965238+0.002570583718j),(-0.01274965238+0.002570583718j)
1.75166,(-0.01277490053+0.002596216043j),(-0.01277490053+0.002596216043j)
