Frequency,S11,S21
1.54304,(-0.001384576783-0.2972009778j),(-0.001384576783-0.2972009778j)
1.54368,(-0.001323132776-0.297469914j),(-0.001323132776-0.297469914j)
1.54432,(-0.001191796502-0.2975395322j),(-0.001191796502-0.2975395322j)
1.54496,(-0.001307316124-0.2976462543j),(-0.001307316124-0.2976462543j)
1.5456,(-0.001227728557-0.2975223362j),(-0.001227728557-0.2975223362j)
1.54624,(-0.001206759829-0.2976533473j),(-0.001206759829-0.2976533473j)
1.54688,(-0.00118582882-0.2977160811j),(-0.00118582882-0.2977160811j)
1.54752,(-0.001277103089-0.2978049815j),(-0.001277103089-0.2978049815j)
1.54816,(-0.001245985739-0.297899127j),(-0.001245985739-0.297899127j)
1.5488,(-0.001208165661-0.2980205119j),(-0.001208165661-0.2980205119j)
1.54944,(-0.001178571954-0.2981345654j),(-0.001178571954-0.2981345654j)
1.55008,(-0.001261258498-0.2982922494j),(-0.001261258498-0.2982922494j)
1.55072,(-0.001278039999-0.2981690764j),(-0.001278039999-0.2981690764j)
1.55136,(-0.001278823242-0.2983063161j),(-0.001278823242-0.2983063161j)
1.552,(-0.001211647876-0.2985218167j),(-0.001211647876-0.2985218167j)
1.55264,(-0.001175213605-0.2983513176j),(-0.001175213605-0.2983513176j)
1.55328,(-0.001212708652-0.2985582054j),(-0.001212708652-0.2985582054j)
1.55392,(-0.001304909587-0.2986810505j),(-0.001304909587-0.2986810505j)
1.55456,(-0.001157503575-0.2986630499j),(-0.001157503575-0.2986630499j)
1.5552,(-0.001224694774-0.2988494039j),(-0.001224694774-0.2988494039j)
1.55584,(-0.001517302822-0.298781842j),(-0.001517302822-0.298781842j)
1.55648,(-0.001249442343-0.2989013493j),(-0.001249442343-0.2989013493j)
1.55712,(-0.001420521177-0.2988721728j),(-0.001420521177-0.2988721728j)
1.55776,(-0.001426994335-0.298802644j),(-0.001426994335-0.298802644j)
1.5584,(-0.001283664606-0.2989102006j),(-0.001283664606-0.2989102006j)
1.55904,(-0.001290434389-0.2990725935j),(-0.001290434389-0.2990725935j)
1.55968,(-0.001324269222-0.2989796996j),(-0.001324269222-0.2989796996j)
1.56032,(-0.001334666973-0.2990519404j),(-0.001334666973-0.2990519404j)
1.56096,(-0.001458965009-0.2994100749j),(-0.001458965009-0.2994100749j)
1.5616,(-0.001409451943-0.2994159758j),(-0.001409451943-0.2994159758j)
1.56224,(-0.001501196995-0.2993390858j),(-0.001501196995-0.2993390858j)
1.56288,(-0.001587154344-0.2995359898j),(-0.001587154344-0.2995359898j)
1.56352,(-0.001470996533-0.2994965911j),(-0.001470996533-0.2994965911j)
1.56416,(-0.001426207833-0.2996888459j),(-0.001426207833-0.2996888459j)
1.5648,(-0.001513527706-0.2998561263j),(-0.001513527706-0.2998561263j)
1.56544,(-0.001614456065-0.2996267378j),(-0.001614456065-0.2996267378j)
1.56608,(-0.001606800593-0.2999889553j),(-0.001606800593-0.2999889553j)
1.56672,(-0.001500500366-0.3001370728j),(-0.001500500366-0.3001370728j)
1.56736,(-0.00174473878-0.3002266288j),(-0.00174473878-0.3002266288j)
1.568,(-0.001549797133-0.3003803194j),(-0.001549797133-0.3003803194j)
1.56864,(-0.001470511779-0.3002561033j),(-0.001470511779-0.3002561033j)
1.56928,(-0.001616396941-0.3005119562j),(-0.001616396941-0.3005119562j)
1.56992,(-0.001441695727-0.3005515039j),(-0.001441695727-0.3005515039j)
1.57056,(-0.001680740155-0.3007211387j),(-0.001680740155-0.3007211387j)
1.5712,(-0.001620443072-0.30100438j),(-0.001620443072-0.30100438j)
1.57184,(-0.001507691573-0.3010581136j),(-0.001507691573-0.3010581136j)
1.57248,(-0.001514601987-0.301077038j),(-0.001514601987-0.301077038j)
1.57312,(-0.001710333396-0.3013782799j),(-0.001710333396-0.3013782799j)
1.57376,(-0.001584640238-0.3013596237j),(-0.001584640238-0.3013596237j)
1.5744,(-0.001677663764-0.3015403152j),(-0.001677663764-0.3015403152j)
1.57504,(-0.001612924272-0.3015527725j),(-0.001612924272-0.3015527725j)
1.57568,(-0.001378099434-0.3017809093j),(-0.001378099434-0.3017809093j)
1.57632,(-0.001580815995-0.302187562j),(-0.001580815995-0.302187562j)
1.57696,(-0.001305943937-0.3022270203j),(-0.001305943937-0.3022270203j)
1.5776,(-0.001650525141-0.3021962047j),(-0.001650525141-0.3021962047j)
1.57824,(-0.001475617522-0.3025280833j),(-0.001475617522-0.3025280833j)
1.57888,(-0.001560079749-0.3025479317j),(-0.001560079749-0.3025479317j)
1.57952,(-0.001434742706-0.3026867509j),(-0.001434742706-0.3026867509j)
1.58016,(-0.001529378118-0.3027756512j),(-0.001529378118-0.3027756512j)
1.5808,(-0.00158801442-0.3027343154j),(-0.00158801442-0.3027343154j)
1.58144,(-0.001562163234-0.3029480577j),(-0.001562163234-0.3029480577j)
1.58208,(-0.00152667705-0.3032258153j),(-0.00152667705-0.3032258153j)
1.58272,(-0.001370489132-0.303111881j),(-0.001370489132-0.303111881j)
1.58336,(-0.001526013482-0.3033296168j),(-0.001526013482-0.3033296168j)
1.584,(-0.001535157673-0.3033735752j),(-0.001535157673-0.3033735752j)
1.58464,(-0.001491796225-0.3034802377j),(-0.001491796225-0.3034802377j)
1.58528,(-0.001359057613-0.303594172j),(-0.001359057613-0.303594172j)
1.58592,(-0.001334406435-0.3034453094j),(-0.001334406435-0.3034453094j)
1.58656,(-0.001409631222-0.3036361635j),(-0.001409631222-0.3036361635j)
1.5872,(-0.001364737749-0.3037272096j),(-0.001364737749-0.3037272096j)
1.58784,(-0.001250552945-0.3038043678j),(-0.001250552945-0.3038043678j)
1.58848,(-0.001168366522-0.3037255406j),(-0.001168366522-0.3037255406j)
1.58912,(-0.001304185018-0.3039013743j),(-0.001304185018-0.3039013743j)
1.58976,(-0.001274964772-0.3038485646j),(-0.001274964772-0.3038485646j)
1.5904,(-0.001181251369-0.3039116859j),(-0.001181251369-0.3039116859j)
1.59104,(-0.001156138256-0.3038902879j),(-0.001156138256-0.3038902879j)
1.59168,(-0.001236827113-0.3039608002j),(-0.001236827113-0.3039608002j)
1.59232,(-0.0008031064644-0.3039820194j),(-0.0008031064644-0.3039820194j)
1.59296,(-0.001058532856-0.3040300608j),(-0.001058532856-0.3040300608j)
1.5936,(-0.0009044171311-0.303940177j),(-0.0009044171311-0.303940177j)
1.59424,(-0.001087005949-0.3042007685j),(-0.001087005949-0.3042007685j)
1.59488,(-0.001030731946-0.304143101j),(-0.001030731946-0.304143101j)
1.59552,(-0.0008435237105-0.3041749299j),(-0.0008435237105-0.3041749299j)
1.59616,(-0.0008840328665-0.3041732907j),(-0.0008840328665-0.3041732907j)
1.5968,(-0.001012941939-0.3044316769j),(-0.001012941939-0.3044316769j)
1.59744,(-0.001018662238-0.304138124j),(-0.001018662238-0.304138124j)
1.59808,(-0.0008722438943-0.3045738041j),(-0.0008722438943-0.3045738041j)
1.59872,(-0.0008876142092-0.3045422137j),(-0.0008876142092-0.3045422137j)
1.59936,(-0.0009230268188-0.3045798242j),(-0.0009230268188-0.3045798242j)
1.6,(-0.0008303695358-0.3045475185j),(-0.0008303695358-0.3045475185j)
1.60064,(-0.0008962424472-0.3046421707j),(-0.0008962424472-0.3046421707j)
1.60128,(-0.0009054932743-0.3046739101j),(-0.0009054932743-0.3046739101j)
1.60192,(-0.0009350143373-0.3047877848j),(-0.0009350143373-0.3047877848j)
1.60256,(-0.0009033624083-0.3048218787j),(-0.0009033624083-0.3048218787j)
1.6032,(-0.0009407652542-0.3049175739j),(-0.0009407652542-0.3049175739j)
1.60384,(-0.0009587397799-0.3051419258j),(-0.0009587397799-0.3051419258j)
1.60448,(-0.0009268475696-0.3052150905j),(-0.0009268475696-0.3052150905j)
1.60512,(-0.0009238356724-0.3052684069j),(-0.0009238356724-0.3052684069j)
1.60576,(-0.001080811024-0.3055660725j),(-0.001080811024-0.3055660725j)
1.6064,(-0.001306260936-0.3055832088j),(-0.001306260936-0.3055832088j)
1.60704,(-0.001253516413-0.3057726026j),(-0.001253516413-0.3057726026j)
1.60768,(-0.0009962031618-0.3056450188j),(-0.0009962031618-0.3056450188j)
