Frequency,S11,S21
1.73222,(-0.1904047579-0.3011160791j),(-0.1904047579-0.3011160791j)
1.7324,(-0.1902586222-0.3010712564j),(-0.1902586222-0.3010712564j)
1.73258,(-0.1902870536-0.3010855019j),(-0.1902870536-0.3010855019j)
1.73276,(-0.1902570426-0.301068306j),(-0.1902570426-0.301068306j)
1.73294,(-0.1903050095-0.301035285j),(-0.1903050095-0.301035285j)
1.73312,(-0.1903517544-0.3010807931j),(-0.1903517544-0.3010807931j)
1.7333,(-0.1903491318-0.3011284173j),(-0.1903491318-0.3011284173j)
1.73348,(-0.190396145-0.3011009097j),(-0.190396145-0.3011009097j)
1.73366,(-0.1904731244-0.3011553884j),(-0.1904731244-0.3011553884j)
1.73384,(-0.1903835982-0.3011749387j),(-0.1903835982-0.3011749387j)
1.73402,(-0.1903979778-0.3012805283j),(-0.1903979778-0.3012805283j)
1.7342,(-0.1904392689-0.3012585044j),(-0.1904392689-0.3012585044j)
1.73438,(-0.1904586107-0.3012549877j),(-0.1904586107-0.3012549877j)
1.73456,(-0.1904729307-0.3013027608j),(-0.1904729307-0.3013027608j)
1.73474,(-0.1904748529-0.3012508154j),(-0.1904748529-0.3012508154j)
1.73492,(-0.1904718131-0.3012904227j),(-0.1904718131-0.3012904227j)
1.7351,(-0.1904586554-0.3013235331j),(-0.1904586554-0.3013235331j)
1.73528,(-0.1904724538-0.3012825549j),(-0.1904724538-0.3012825549j)
1.73546,(-0.1904325783-0.3012459874j),(-0.1904325783-0.3012459874j)
1.73564,(-0.1905599535-0.3012965322j),(-0.1905599535-0.3012965322j)
1.73582,(-0.1905090362-0.3013450801j),(-0.1905090362-0.3013450801j)
1.736,(-0.1905208081-0.3013135195j),(-0.1905208081-0.3013135195j)
1.73618,(-0.1905774623-0.3013710976j),(-0.1905774623-0.3013710976j)
1.73636,(-0.1906042099-0.3014665842j),(-0.1906042099-0.3014665842j)
1.73654,(-0.1905318797-0.3015088737j),(-0.1905318797-0.3015088737j)
1.73672,(-0.190559268-0.3015099764j),(-0.190559268-0.3015099764j)
1.7369,(-0.1906301081-0.3014871478j),(-0.1906301081-0.3014871478j)
1.73708,(-0.1905710548-0.3014448881j),(-0.1905710548-0.3014448881j)
1.73726,(-0.190651685-0.3014068604j),(-0.190651685-0.3014068604j)
1.73744,(-0.1904757619-0.3014039099j),(-0.1904757619-0.3014039099j)
1.73762,(-0.1905594468-0.3014030457j),(-0.1905594468-0.3014030457j)
1.7378,(-0.1906281114-0.3013994396j),(-0.1906281114-0.3013994396j)
1.73798,(-0.1905995607-0.3013768494j),(-0.1905995607-0.3013768494j)
1.73816,(-0.1905309409-0.3014796376j),(-0.1905309409-0.3014796376j)
1.73834,(-0.1907328218-0.3014338911j),(-0.1907328218-0.3014338911j)
1.73852,(-0.1907170564-0.3015547693j),(-0.1907170564-0.3015547693j)
1.7387,(-0.1906536818-0.3015865684j),(-0.1906536818-0.3015865684j)
1.73888,(-0.190688327-0.3015636802j),(-0.190688327-0.3015636802j)
1.73906,(-0.1908559501-0.3016585112j),(-0.1908559501-0.3016585112j)
1.73924,(-0.190885812-0.3015961945j),(-0.190885812-0.3015961945j)
1.73942,(-0.1909634769-0.3015975952j),(-0.1909634769-0.3015975952j)
1.7396,(-0.1909519583-0.3016444445j),(-0.1909519583-0.3016444445j)
1.73978,(-0.1908985525-0.3015591204j),(-0.1908985525-0.3015591204j)
1.73996,(-0.1910005361-0.3016268909j),(-0.1910005361-0.3016268909j)
1.74014,(-0.1909771264-0.3015303612j),(-0.1909771264-0.3015303612j)
1.74032,(-0.1910323501-0.3016580045j),(-0.1910323501-0.3016580045j)
1.7405,(-0.1911567599-0.3015740216j),(-0.1911567599-0.3015740216j)
1.74068,(-0.1911348403-0.3015646338j),(-0.1911348403-0.3015646338j)
1.74086,(-0.191258803-0.301543355j),(-0.191258803-0.301543355j)
1.74104,(-0.191172272-0.301674366j),(-0.191172272-0.301674366j)
1.74122,(-0.1912043244-0.3016832173j),(-0.1912043244-0.3016832173j)
1.7414,(-0.1910862476-0.3016679585j),(-0.1910862476-0.3016679585j)
1.74158,(-0.1911567897-0.3017168939j),(-0.1911567897-0.3017168939j)
1.74176,(-0.1912143826-0.3016084433j),(-0.1912143826-0.3016084433j)
1.74194,(-0.1912840456-0.3015535772j),(-0.1912840456-0.3015535772j)
1.74212,(-0.1913403124-0.3016512692j),(-0.1913403124-0.3016512692j)
1.7423,(-0.1913927644-0.3015052974j),(-0.1913927644-0.3015052974j)
1.74248,(-0.1913040131-0.3015449643j),(-0.1913040131-0.3015449643j)
1.74266,(-0.1912136376-0.3014501631j),(-0.1912136376-0.3014501631j)
1.74284,(-0.191433534-0.3015075326j),(-0.191433534-0.3015075326j)
1.74302,(-0.1914487183-0.3014133275j),(-0.1914487183-0.3014133275j)
1.7432,(-0.1914298534-0.3014065027j),(-0.1914298534-0.3014065027j)
1.74338,(-0.1914230436-0.3014743924j),(-0.1914230436-0.3014743924j)
1.74356,(-0.1914514452-0.3014166355j),(-0.1914514452-0.3014166355j)
1.74374,(-0.191425249-0.3014529049j),(-0.191425249-0.3014529049j)
1.74392,(-0.191508472-0.3013778031j),(-0.191508472-0.3013778031j)
1.7441,(-0.1914571971-0.3013979793j),(-0.1914571971-0.3013979793j)
1.74428,(-0.1916440129-0.3013596535j),(-0.1916440129-0.3013596535j)
1.74446,(-0.1917825043-0.3012906909j),(-0.1917825043-0.3012906909j)
1.74464,(-0.1918162853-0.3013652861j),(-0.1918162853-0.3013652861j)
1.74482,(-0.1919519156-0.3013960421j),(-0.1919519156-0.3013960421j)
1.745,(-0.1918680221-0.3015017509j),(-0.1918680221-0.3015017509j)
1.74518,(-0.1919182092-0.3015658855j),(-0.1919182092-0.3015658855j)
1.74536,(-0.1920443028-0.3014540374j),(-0.1920443028-0.3014540374j)
1.74554,(-0.1920817345-0.3015094399j),(-0.1920817345-0.3015094399j)
1.74572,(-0.192073375-0.3013686538j),(-0.192073375-0.3013686538j)
1.7459,(-0.1921651214-0.3013731539j),(-0.1921651214-0.3013731539j)
1.74608,(-0.1921417415-0.301351577j),(-0.1921417415-0.301351577j)
1.74626,(-0.1920777708-0.301412493j),(-0.1920777708-0.301412493j)
1.74644,(-0.192233339-0.3014435768j),(-0.192233339-0.3014435768j)
1.74662,(-0.1922098845-0.3015048206j),(-0.1922098845-0.3015048206j)
1.7468,(-0.1921393722-0.3015343845j),(-0.1921393722-0.3015343845j)
1.74698,(-0.1921973228-0.3013573885j),(-0.1921973228-0.3013573885j)
1.74716,(-0.1921654046-0.3014273345j),(-0.1921654046-0.3014273345j)
1.74734,(-0.1922004372-0.3014309108j),(-0.1922004372-0.3014309108j)
1.74752,(-0.1922850758-0.3013718128j),(-0.1922850758-0.3013718128j)
1.7477,(-0.1924787313-0.3014042377j),(-0.1924787313-0.3014042377j)
1.74788,(-0.1923713982-0.3013166487j),(-0.1923713982-0.3013166487j)
1.74806,(-0.1924412847-0.3012464941j),(-0.1924412847-0.3012464941j)
1.74824,(-0.1924673021-0.3012614846j),(-0.1924673021-0.3012614846j)
1.74842,(-0.1925985366-0.3013125062j),(-0.1925985366-0.3013125062j)
1.7486,(-0.1926037371-0.3013804257j),(-0.1926037371-0.3013804257j)
1.74878,(-0.1924951971-0.3012340367j),(-0.1924951971-0.3012340367j)
1.74896,(-0.1926175356-0.3011899292j),(-0.1926175356-0.3011899292j)
1.74914,(-0.1926592141-0.3011678159j),(-0.1926592141-0.3011678159j)
1.74932,(-0.1927108765-0.301194787j),(-0.1927108765-0.301194787j)
1.7495,(-0.1927356571-0.3012166619j),(-0.1927356571-0.3012166619j)
1.74968,(-0.1928569227-0.3013274372j),(-0.1928569227-0.3013274372j)
1.74986,(-0.1929123402-0.3012642264j),(-0.1929123402-0.3012642264j)
1.75004,(-0.192925483-0.3013685644j),(-0.192925483-0.3013685644j)
1.75022,(-0.1929482222-0.301338762j),(-0.1929482222-0.301338762j)
1.7504,(-0.1930686086-0.3012275994j),(-0.1930686086-0.3012275994j)
1.75058,(-0.192986384-0.30122298j),(-0.192986384-0.30122298j)
1.75076,(-0.1931272149-0.3011412024j),(-0.1931272149-0.3011412024j)
1.75094,(-0.1930146217-0.3011273444j),(-0.1930146217-0.3011273444j)
1.75112,(-0.1931337714-0.3012296259j),(-0.1931337714-0.3012296259j)
1.7513,(-0.1931777894-0.3013169467j),(-0.1931777894-0.3013169467j)
1.75148,(-0.193116039-0.3012414277j),(-0.193116039-0.3012414277j)
1.75166,(-0.1931644678-0.301392287j),(-0.1931644678-0.301392287j)
1.75184,(-0.1933115274-0.3014030457j),(-0.1933115274-0.3014030457j)
1.75202,(-0.1933958828-0.3014181256j),(-0.1933958828-0.3014181256j)
1.7522,(-0.1934736222-0.3013174236j),(-0.1934736222-0.3013174236j)
1.75238,(-0.1935216784-0.3014006615j),(-0.1935216784-0.3014006615j)
1.75256,(-0.1934156418-0.3012369275j),(-0.1934156418-0.3012369275j)
1.75274,(-0.1933551729-0.3011687398j),(-0.1933551729-0.3011687398j)
1.75292,(-0.1934197992-0.3012177944j),(-0.1934197992-0.3012177944j)
1.7531,(-0.1934311688-0.3011815846j),(-0.1934311688-0.3011815846j)
1.75328,(-0.1934793442-0.3013447225j),(-0.1934793442-0.3013447225j)
1.75346,(-0.1935413182-0.3012597561j),(-0.1935413182-0.3012597561j)
1.75364,(-0.1936414987-0.3013906479j),(-0.1936414987-0.3013906479j)
1.75382,(-0.1936643124-0.3012953699j),(-0.1936643124-0.3012953699j)
1.754,(-0.1937199086-0.3013995886j),(-0.1937199086-0.3013995886j)
1.75418,(-0.1938797235-0.301309824j),(-0.1938797235-0.301309824j)
