Frequency,S11,S21
1.73186,(-0.1523904949-0.3151999414j),(-0.1523904949-0.3151999414j)
1.73204,(-0.1523914188-0.3153324127j),(-0.1523914188-0.3153324127j)
1.73222,(-0.1522954255-0.3153892457j),(-0.1522954255-0.3153892457j)
1.7324,(-0.1522448063-0.3154630661j),(-0.1522448063-0.3154630661j)
1.73258,(-0.1522468179-0.3155581057j),(-0.1522468179-0.3155581057j)
1.73276,(-0.1523117721-0.3154871762j),(-0.1523117721-0.3154871762j)
1.73294,(-0.1521908641-0.3154144883j),(-0.1521908641-0.3154144883j)
1.73312,(-0.1523053646-0.3154332638j),(-0.1523053646-0.3154332638j)
1.7333,(-0.1522599757-0.3154302239j),(-0.1522599757-0.3154302239j)
1.73348,(-0.1522705555-0.3155449033j),(-0.1522705555-0.3155449033j)
1.73366,(-0.1523476094-0.3155541718j),(-0.1523476094-0.3155541718j)
1.73384,(-0.1523007303-0.3155477345j),(-0.1523007303-0.3155477345j)
1.73402,(-0.15226987-0.3156045079j),(-0.15226987-0.3156045079j)
1.7342,(-0.1523316354-0.315683037j),(-0.1523316354-0.315683037j)
1.73438,(-0.1523376405-0.3156870008j),(-0.1523376405-0.3156870008j)
1.73456,(-0.1523563415-0.3157636523j),(-0.1523563415-0.3157636523j)
1.73474,(-0.1523011178-0.3156859577j),(-0.1523011178-0.3156859577j)
1.73492,(-0.1522928476-0.3157882094j),(-0.1522928476-0.3157882094j)
1.7351,(-0.1523410529-0.3158350587j),(-0.1523410529-0.3158350587j)
1.73528,(-0.1522972882-0.3158159852j),(-0.1522972882-0.3158159852j)
1.73546,(-0.1522362977-0.315766573j),(-0.1522362977-0.315766573j)
1.73564,(-0.1522623003-0.3157193661j),(-0.1522623003-0.3157193661j)
1.73582,(-0.1523694992-0.3157844543j),(-0.1523694992-0.3157844543j)
1.736,(-0.1522976309-0.3158082366j),(-0.1522976309-0.3158082366j)
1.73618,(-0.1522890329-0.3158251345j),(-0.1522890329-0.3158251345j)
1.73636,(-0.1524259895-0.3160553873j),(-0.1524259895-0.3160553873j)
1.73654,(-0.1523797363-0.315987438j),(-0.1523797363-0.315987438j)
1.73672,(-0.1523918211-0.3159855902j),(-0.1523918211-0.3159855902j)
1.7369,(-0.152407825-0.3161299527j),(-0.152407825-0.3161299527j)
1.73708,(-0.1523601711-0.316069603j),(-0.1523601711-0.316069603j)
1.73726,(-0.1523623914-0.3159795403j),(-0.1523623914-0.3159795403j)
1.73744,(-0.1523056775-0.3160525262j),(-0.1523056775-0.3160525262j)
1.73762,(-0.1522559673-0.3158665299j),(-0.1522559673-0.3158665299j)
1.7378,(-0.1523406357-0.3159660399j),(-0.1523406357-0.3159660399j)
1.73798,(-0.1524216682-0.3158971071j),(-0.1524216682-0.3158971071j)
1.73816,(-0.1523356438-0.3159804642j),(-0.1523356438-0.3159804642j)
1.73834,(-0.1524286866-0.3160253465j),(-0.1524286866-0.3160253465j)
1.73852,(-0.1523897201-0.3161343336j),(-0.1523897201-0.3161343336j)
1.7387,(-0.1523916572-0.3161664903j),(-0.1523916572-0.3161664903j)
1.73888,(-0.1523813307-0.3161740899j),(-0.1523813307-0.3161740899j)
1.73906,(-0.1524840891-0.3161360025j),(-0.1524840891-0.3161360025j)
1.73924,(-0.1525116414-0.3160589337j),(-0.1525116414-0.3160589337j)
1.73942,(-0.1525731087-0.3161260784j),(-0.1525731087-0.3161260784j)
1.7396,(-0.1526052654-0.3161762357j),(-0.1526052654-0.3161762357j)
1.73978,(-0.1525308788-0.3161951005j),(-0.1525308788-0.3161951005j)
1.73996,(-0.1525934041-0.3161641359j),(-0.1525934041-0.3161641359j)
1.74014,(-0.1524150223-0.31625247j),(-0.1524150223-0.31625247j)
1.74032,(-0.1525803059-0.3162302673j),(-0.1525803059-0.3162302673j)
1.7405,(-0.1525949836-0.3161385059j),(-0.1525949836-0.3161385059j)
1.74068,(-0.1526354551-0.316257447j),(-0.1526354551-0.316257447j)
1.74086,(-0.1527470946-0.3161791861j),(-0.1527470946-0.3161791861j)
1.74104,(-0.1526979953-0.3162255585j),(-0.1526979953-0.3162255585j)
1.74122,(-0.1527684778-0.3163239062j),(-0.1527684778-0.3163239062j)
1.7414,(-0.1526885182-0.3163616061j),(-0.1526885182-0.3163616061j)
1.74158,(-0.1527308673-0.3162835836j),(-0.1527308673-0.3162835836j)
1.74176,(-0.1527846605-0.3161361814j),(-0.1527846605-0.3161361814j)
1.74194,(-0.152826637-0.3161545396j),(-0.152826637-0.3161545396j)
1.74212,(-0.1527971774-0.3162248135j),(-0.1527971774-0.3162248135j)
1.7423,(-0.1528517902-0.3162263632j),(-0.1528517902-0.3162263632j)
1.74248,(-0.1528364718-0.3160945773j),(-0.1528364718-0.3160945773j)
1.74266,(-0.1529027224-0.3161764145j),(-0.1529027224-0.3161764145j)
1.74284,(-0.1528881937-0.3161271811j),(-0.1528881937-0.3161271811j)
